Код,id,торги,результаты,адрес,старт_цена,ИНН,фз,об_закупки,реестр_недобр_постав,общ_треб
10293,Закупка №0101100000517000055 rss,"350 000,00|369 900,00|310 600,00|309 200,00|400 000,00|315 606,84|",||Лучшее предложение о цене контракта после победителя|Победитель|||,"Российская Федерация, 450112, Башкортостан Респ, Уфа г, УЛ УЛЬЯНОВЫХ, ДОМ 18","420 809,12 Российский рубль",0273060707,44,43.39.11.190.-.Текущий.ремонт.лестничного.пролёта,,
10295,Закупка №0101300007317000080 rss,"430 000,00|448 999,00|",Победитель|Лучшее предложение о цене контракта после победителя|,"Российская Федерация, 452000, Башкортостан Респ, Белебеевский р-н, Белебей г, УЛ КРАСНАЯ, Д 113/КОРПУС 1","493 200,00 Российский рубль",0255012740,44,Художественное.оформление.Новогоднего.городка.ледяными.фигурами.на.Пионерской.площади.в.городском.поселении.город.Белебей.муниципального.района.Белебеевский.район.Республики.Башкортостан,,
10300,Закупка №0106300002117000004 rss,"397 045,00|418 500,00|349 000,00|350 000,00|",||Победитель|Лучшее предложение о цене контракта после победителя|,"Российская Федерация, 186821, Карелия Респ, Питкярантский р-н, Салми п, ПЕР САДОВЫЙ, 3","450 000,00 Российский рубль",1005008453,44,42.22.22.140.-.выполнение.работ.по.замене.светильников.под.лампу.ДРЛ-250.на.светодиодные.светильники.в.поселке.Салми.,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10307,Закупка №0109200002417003093 rss,"196 800,00|153 123,96|",Лучшее предложение о цене контракта после победителя|Победитель|,"Российская Федерация, 430002, Мордовия Респ, Саранск г, УЛ СОВЕТСКАЯ, 26","247 410,00 Российский рубль",1326137115,44,оказание.услуг.на.проведение.анализов,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10308,Закупка №0109200002417003095 rss,"175 880,00|178 900,00|",Победитель|Лучшее предложение о цене контракта после победителя|,"Российская Федерация, 430002, Мордовия Респ, Саранск г, УЛ СОВЕТСКАЯ, 26","193 200,00 Российский рубль",1326137115,44,закупка.персональных.компьютеров,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10310,Закупка №0109200002417003100 rss,"92 264,00|77 500,00|67 000,00|55 300,00|",||Лучшее предложение о цене контракта после победителя|Победитель|,"Российская Федерация, 430002, Мордовия Респ, Саранск г, УЛ СОВЕТСКАЯ, 26","115 020,00 Российский рубль",1326137115,44,оказание.услуг.по.проведению.специальной.оценки.условий.труда,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10312,Закупка №0111300006317000076 rss,"374 972,22|374 972,22|","Победитель|Предложение о цене контракта такое же, как у победителя|","Российская Федерация, 423950, Татарстан Респ, Ютазинский р-н, Уруссу пгт, УЛ ПУШКИНА, ДОМ 38, ПОМЕЩЕНИЕ 52","374 972,22 Российский рубль",1642004466,44,Отпуск.по.топливным.пластиковым.картам.на.основе.СБР.нефтепродуктов.на.АЗС.для.Исполнительного.комитета.Ютазинского.муниципального.района.Республики.Татарстан.на.2018год,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10314,Закупка №0112200000817003454 rss,"396 700,00|401 200,00|396 200,00|",Лучшее предложение о цене контракта после победителя||Победитель|,"Российская Федерация, 667000, Тыва Респ, Кызыл г, УЛ ЧУЛЬДУМА, 18","452 200,00 Российский рубль",1701054052,44,Поставка.мясо.кур.для.нужд.ГБУЗ.РТ.Противотуберкулезный.диспансер.и.филиала.в.Барун-Хемчикском.кожууне,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10315,Закупка №0112200000817003597 rss,"370 285,00|390 999,00|299 000,00|",Лучшее предложение о цене контракта после победителя||Победитель|,"Российская Федерация, 667000, Тыва Респ, Кызыл г, УЛ ЧУЛЬДУМА, 18","401 530,00 Российский рубль",1701054052,44,Монтаж.узла.учета.тепловой.энергии.для.нужд.ГБУЗ.РТ.Бюро.судебно-медицинской.экспертизы,,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
10316,Закупка №0113100006317000063 rss,"9 499,99|12 000,00|",Победитель|Лучшее предложение о цене контракта после победителя|,"Российская Федерация, 426076, Удмуртская Респ, Ижевск г, УЛ ПУШКИНСКАЯ, ДОМ 148","13 900,00 Российский рубль",1841004975,44,"Выполнение.работ.по.определению.рыночного.размера.арендной.платы.за.пользование..федеральным.имуществом,.расположенным.на.территории.Удмуртской.Республики.",,"1 Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) Единые требования к участникам (в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ) в соответствии с частью 1 Статьи 31 Федерального закона № 44-ФЗ и документацией об электронном аукционе 2 Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ Требования к участникам закупок в соответствии с частью 1.1 статьи 31 Федерального закона № 44-ФЗ отсутствие в предусмотренном Федеральным законом от 05.04.2013г. №44-ФЗ реестре недобросовестных поставщиков (подрядчиков, исполнителей) информации об участнике закупки, в том числе информации об учредителях, о членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа участника закупки – юридического лица"
